pollutant,horizon_h,feature,importance
C6H6(GT),1,CO(GT)_roll_std_24h,0.0017720167233261724
C6H6(GT),1,C6H6(GT)_roll_mean_6h,0.004919147251426839
C6H6(GT),1,C6H6(GT)_roll_std_6h,0.005372197437035461
C6H6(GT),1,C6H6(GT)_roll_mean_24h,0.0035032253528989987
C6H6(GT),1,C6H6(GT)_roll_std_24h,0.004398132258755155
C6H6(GT),1,NOx(GT)_roll_mean_6h,0.0016390124448984202
C6H6(GT),1,NOx(GT)_roll_std_6h,0.002017202851833415
C6H6(GT),1,NOx(GT)_roll_mean_24h,0.0017151689048952373
C6H6(GT),1,NOx(GT)_roll_std_24h,0.0016110831910185147
C6H6(GT),1,NO2(GT)_roll_mean_6h,0.0015964889310360391
C6H6(GT),1,NO2(GT)_roll_std_6h,0.0026475306754058497
C6H6(GT),1,NO2(GT)_roll_mean_24h,0.0020871870841603834
C6H6(GT),1,NO2(GT)_roll_std_24h,0.0016820196728014043
C6H6(GT),1,NOx_NO2_ratio,0.002184063305396549
C6H6(GT),1,C6H6_CO_ratio,0.002260339547655205
C6H6(GT),1,PT08.S1(CO)_minus_CO(GT),0.0024632007784178983
C6H6(GT),1,PT08.S3(NOx)_minus_NOx(GT),0.0020964534656692626
C6H6(GT),1,PT08.S4(NO2)_minus_NO2(GT),0.0018152744487001911
NOx(GT),1,CO(GT),0.0015706690558281344
NOx(GT),1,PT08.S1(CO),0.001138001077727074
NOx(GT),1,C6H6(GT),0.0006502036029325203
NOx(GT),1,PT08.S2(NMHC),0.0007459921078221705
NOx(GT),1,NOx(GT),0.862903327906376
NOx(GT),1,PT08.S3(NOx),0.0008850721508031278
NOx(GT),1,NO2(GT),0.0014403674855690168
NOx(GT),1,PT08.S4(NO2),0.0007756905211730376
NOx(GT),1,PT08.S5(O3),0.001182372176674549
NOx(GT),1,T,0.0016790548964373947
NOx(GT),1,RH,0.0020218663277003016
NOx(GT),1,AH,0.0014471602587093743
NOx(GT),1,Hour,0.0010761777396394643
NOx(GT),1,Day,0.00036702657541073355
NOx(GT),1,Month,0.0002955133368312595
NOx(GT),1,hour,0.0010867957932017783
NOx(GT),1,dayofweek,0.0003480354046294491
NOx(GT),1,month,0.00026436359592697925
NOx(GT),1,is_weekend,8.236419306007848e-05
NOx(GT),1,hour_sin,0.011029763801850636
NOx(GT),1,hour_cos,0.003100442719091619
NOx(GT),1,dow_sin,0.0008627605291274739
NOx(GT),1,dow_cos,0.00032400471270488477
NOx(GT),1,month_sin,0.0002110355350459418
NOx(GT),1,month_cos,0.00026881705350221635
NOx(GT),1,CO(GT)_lag1,0.005685814399688085
NOx(GT),1,CO(GT)_lag6,0.0009286549357802672
NOx(GT),1,CO(GT)_lag12,0.002074255188609309
NOx(GT),1,CO(GT)_lag24,0.0010848032396197302
NOx(GT),1,C6H6(GT)_lag1,0.0006970311079788997
NOx(GT),1,C6H6(GT)_lag6,0.00043828989403426634
NOx(GT),1,C6H6(GT)_lag12,0.000684815224214781
NOx(GT),1,C6H6(GT)_lag24,0.0004600140874074463
NOx(GT),1,NOx(GT)_lag1,0.0039420271285605605
NOx(GT),1,NOx(GT)_lag6,0.0026025092642562157
NOx(GT),1,NOx(GT)_lag12,0.0028048106172689122
NOx(GT),1,NOx(GT)_lag24,0.00164442625572397
NOx(GT),1,NO2(GT)_lag1,0.002974945829606525
NOx(GT),1,NO2(GT)_lag6,0.0021431701867082147
NOx(GT),1,NO2(GT)_lag12,0.002584501358328854
NOx(GT),1,NO2(GT)_lag24,0.0017894628273582528
NOx(GT),1,PT08.S1(CO)_lag1,0.0012623125541491769
NOx(GT),1,PT08.S1(CO)_lag6,0.0007445022411447688
NOx(GT),1,PT08.S1(CO)_lag12,0.0010112390065926528
NOx(GT),1,PT08.S1(CO)_lag24,0.0008932528304288406
NOx(GT),1,PT08.S2(NMHC)_lag1,0.0008155535241103137
NOx(GT),1,PT08.S2(NMHC)_lag6,0.000512271524062751
NOx(GT),1,PT08.S2(NMHC)_lag12,0.000997053062226565
NOx(GT),1,PT08.S2(NMHC)_lag24,0.0005780337048211851
NOx(GT),1,PT08.S3(NOx)_lag1,0.0012602794892238609
NOx(GT),1,PT08.S3(NOx)_lag6,0.0008589943436548348
NOx(GT),1,PT08.S3(NOx)_lag12,0.0010470742785678071
NOx(GT),1,PT08.S3(NOx)_lag24,0.0012517981850166957
NOx(GT),1,PT08.S4(NO2)_lag1,0.0018571543553441423
NOx(GT),1,PT08.S4(NO2)_lag6,0.0009837011066940423
NOx(GT),1,PT08.S4(NO2)_lag12,0.001402095755034577
NOx(GT),1,PT08.S4(NO2)_lag24,0.0008868672026678465
NOx(GT),1,PT08.S5(O3)_lag1,0.0013228142865780092
NOx(GT),1,PT08.S5(O3)_lag6,0.0010744231297174177
NOx(GT),1,PT08.S5(O3)_lag12,0.0009959194240174865
NOx(GT),1,PT08.S5(O3)_lag24,0.0010541557117856291
NOx(GT),1,CO(GT)_roll_mean_6h,0.0017947066222859
NOx(GT),1,CO(GT)_roll_std_6h,0.005784075728927895
NOx(GT),1,CO(GT)_roll_mean_24h,0.0011587940829987503
NOx(GT),1,CO(GT)_roll_std_24h,0.0013963416219170978
NOx(GT),1,C6H6(GT)_roll_mean_6h,0.0011471045683604658
NOx(GT),1,C6H6(GT)_roll_std_6h,0.0015508138085286618
NOx(GT),1,C6H6(GT)_roll_mean_24h,0.000989600113005848
NOx(GT),1,C6H6(GT)_roll_std_24h,0.0011777631189370421
NOx(GT),1,NOx(GT)_roll_mean_6h,0.001922903722023904
NOx(GT),1,NOx(GT)_roll_std_6h,0.002645415972922823
NOx(GT),1,NOx(GT)_roll_mean_24h,0.002003617248358946
NOx(GT),1,NOx(GT)_roll_std_24h,0.0027540106697146708
NOx(GT),1,NO2(GT)_roll_mean_6h,0.001638495856541571
NOx(GT),1,NO2(GT)_roll_std_6h,0.002720612656714324
NOx(GT),1,NO2(GT)_roll_mean_24h,0.0016654556981965589
NOx(GT),1,NO2(GT)_roll_std_24h,0.0020848417662853893
NOx(GT),1,NOx_NO2_ratio,0.0026539442961460162
NOx(GT),1,C6H6_CO_ratio,0.002500165459351479
NOx(GT),1,PT08.S1(CO)_minus_CO(GT),0.0017337073869093747
NOx(GT),1,PT08.S3(NOx)_minus_NOx(GT),0.010455536408102598
NOx(GT),1,PT08.S4(NO2)_minus_NO2(GT),0.0011161873750126048
NO2(GT),1,CO(GT),0.0016096634625931978
NO2(GT),1,PT08.S1(CO),0.0015254230293948355
NO2(GT),1,C6H6(GT),0.0009006551745312175
NO2(GT),1,PT08.S2(NMHC),0.001252006154319688
NO2(GT),1,NOx(GT),0.0019001708145613737
NO2(GT),1,PT08.S3(NOx),0.0013290199899946634
NO2(GT),1,NO2(GT),0.8334463443516562
NO2(GT),1,PT08.S4(NO2),0.0009121148172475783
NO2(GT),1,PT08.S5(O3),0.0018931370478107931
NO2(GT),1,T,0.0025076280331158994
NO2(GT),1,RH,0.002313275391532339
NO2(GT),1,AH,0.002493365748592297
NO2(GT),1,Hour,0.004856551333178607
NO2(GT),1,Day,0.0004228554419491191
NO2(GT),1,Month,0.00020325475244542011
NO2(GT),1,hour,0.004890506730553577
NO2(GT),1,dayofweek,0.0005220903576828215
NO2(GT),1,month,0.00018125562160946067
NO2(GT),1,is_weekend,0.00012192136070290408
NO2(GT),1,hour_sin,0.006750838169388615
NO2(GT),1,hour_cos,0.017502728253381287
NO2(GT),1,dow_sin,0.0007926158424607103
NO2(GT),1,dow_cos,0.00041502268980998536
NO2(GT),1,month_sin,0.0005478991467949005
NO2(GT),1,month_cos,0.0006201170203272621
NO2(GT),1,CO(GT)_lag1,0.0022613387992604615
NO2(GT),1,CO(GT)_lag6,0.0011721816659873232
NO2(GT),1,CO(GT)_lag12,0.002104994887330511
NO2(GT),1,CO(GT)_lag24,0.0012929805960662296
NO2(GT),1,C6H6(GT)_lag1,0.0008012034461004645
NO2(GT),1,C6H6(GT)_lag6,0.0005018145706120428
NO2(GT),1,C6H6(GT)_lag12,0.000696593134883279
NO2(GT),1,C6H6(GT)_lag24,0.0007589423954946862
NO2(GT),1,NOx(GT)_lag1,0.00228313102571607
NO2(GT),1,NOx(GT)_lag6,0.0019922762234491024
NO2(GT),1,NOx(GT)_lag12,0.0018216236039355392
NO2(GT),1,NOx(GT)_lag24,0.0015637489993237514
NO2(GT),1,NO2(GT)_lag1,0.0062120235072705525
NO2(GT),1,NO2(GT)_lag6,0.003147956115397974
NO2(GT),1,NO2(GT)_lag12,0.004380068584702062
NO2(GT),1,NO2(GT)_lag24,0.0021442122448085163
NO2(GT),1,PT08.S1(CO)_lag1,0.001678407535753562
NO2(GT),1,PT08.S1(CO)_lag6,0.0010956197881106177
NO2(GT),1,PT08.S1(CO)_lag12,0.0014556376043570538
NO2(GT),1,PT08.S1(CO)_lag24,0.0013747009957360739
NO2(GT),1,PT08.S2(NMHC)_lag1,0.0009344782824091765
NO2(GT),1,PT08.S2(NMHC)_lag6,0.0007338423973783029
NO2(GT),1,PT08.S2(NMHC)_lag12,0.0011195357673612202
NO2(GT),1,PT08.S2(NMHC)_lag24,0.0008315073732216758
NO2(GT),1,PT08.S3(NOx)_lag1,0.001477541657174089
NO2(GT),1,PT08.S3(NOx)_lag6,0.0011958645955842829
NO2(GT),1,PT08.S3(NOx)_lag12,0.0014854106234742112
NO2(GT),1,PT08.S3(NOx)_lag24,0.0013334299915478865
NO2(GT),1,PT08.S4(NO2)_lag1,0.00255835768660933
NO2(GT),1,PT08.S4(NO2)_lag6,0.0016756932416252795
NO2(GT),1,PT08.S4(NO2)_lag12,0.0032769834251707925
NO2(GT),1,PT08.S4(NO2)_lag24,0.0017472596639868387
NO2(GT),1,PT08.S5(O3)_lag1,0.0015449116201768631
NO2(GT),1,PT08.S5(O3)_lag6,0.0015597302729461273
NO2(GT),1,PT08.S5(O3)_lag12,0.0013613041596497921
NO2(GT),1,PT08.S5(O3)_lag24,0.0014270495789999074
NO2(GT),1,CO(GT)_roll_mean_6h,0.0025530337660941956
NO2(GT),1,CO(GT)_roll_std_6h,0.0025795757838174083
NO2(GT),1,CO(GT)_roll_mean_24h,0.001277888109609396
NO2(GT),1,CO(GT)_roll_std_24h,0.0017212285048274329
NO2(GT),1,C6H6(GT)_roll_mean_6h,0.001501419954140467
NO2(GT),1,C6H6(GT)_roll_std_6h,0.0024146734635577594
NO2(GT),1,C6H6(GT)_roll_mean_24h,0.0010778187986266075
NO2(GT),1,C6H6(GT)_roll_std_24h,0.0014617802359150316
NO2(GT),1,NOx(GT)_roll_mean_6h,0.002038005484994843
NO2(GT),1,NOx(GT)_roll_std_6h,0.0034968035982497077
NO2(GT),1,NOx(GT)_roll_mean_24h,0.001587788404890072
NO2(GT),1,NOx(GT)_roll_std_24h,0.0022861381157780265
NO2(GT),1,NO2(GT)_roll_mean_6h,0.0027467242223059253
NO2(GT),1,NO2(GT)_roll_std_6h,0.003873424354023269
NO2(GT),1,NO2(GT)_roll_mean_24h,0.0029859896282400777
NO2(GT),1,NO2(GT)_roll_std_24h,0.0037336497635822746
NO2(GT),1,NOx_NO2_ratio,0.0019393565557109494
NO2(GT),1,C6H6_CO_ratio,0.002464690971695012
NO2(GT),1,PT08.S1(CO)_minus_CO(GT),0.0017895533268261138
NO2(GT),1,PT08.S3(NOx)_minus_NOx(GT),0.0024915292009547564
NO2(GT),1,PT08.S4(NO2)_minus_NO2(GT),0.0010661109589143003
CO(GT),6,CO(GT),0.018145297355512045
CO(GT),6,PT08.S1(CO),0.004405103537366613
CO(GT),6,C6H6(GT),0.0023112006304500665
CO(GT),6,PT08.S2(NMHC),0.0034282424275694566
CO(GT),6,NOx(GT),0.016143528228748327
CO(GT),6,PT08.S3(NOx),0.005218267006579928
CO(GT),6,NO2(GT),0.0050977963549829345
CO(GT),6,PT08.S4(NO2),0.003631625977040977
CO(GT),6,PT08.S5(O3),0.006849645430499865
CO(GT),6,T,0.007360108803074661
CO(GT),6,RH,0.010432071317220513
CO(GT),6,AH,0.008053761406923451
CO(GT),6,Hour,0.07731826777002639
CO(GT),6,Day,0.005851911691879674
CO(GT),6,Month,0.0012071085732326522
CO(GT),6,hour,0.0696564702438461
CO(GT),6,dayofweek,0.006264070630657512
CO(GT),6,month,0.0012569479569152198
CO(GT),6,is_weekend,0.008317508715583143
CO(GT),6,hour_sin,0.01202687339215682
CO(GT),6,hour_cos,0.0829545655700042
CO(GT),6,dow_sin,0.005822609566727469
CO(GT),6,dow_cos,0.0027429466425562626
CO(GT),6,month_sin,0.0019717088562872034
CO(GT),6,month_cos,0.0056706327686700635
